model_name,display_name,threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1_score,val_roc_auc,val_TP,val_FP,val_TN,val_FN
resnet50,ResNet50,0.97,0.8529411764705882,1.0,0.1588785046728972,1.0,0.27419354838709675,0.8727491440732859,17,0,505,90
resnet50,ResNet50,0.98,0.8464052287581699,1.0,0.12149532710280374,1.0,0.21666666666666667,0.8727491440732859,13,0,505,94
resnet50,ResNet50,0.99,0.8398692810457516,1.0,0.08411214953271028,1.0,0.15517241379310345,0.8727491440732859,9,0,505,98
mobilenetv2,MobileNetV2,0.01,0.23529411764705882,0.18608695652173912,1.0,0.07326732673267326,0.31378299120234604,0.8654205607476634,107,468,37,0
mobilenetv2,MobileNetV2,0.02,0.3137254901960784,0.2019047619047619,0.9906542056074766,0.1702970297029703,0.33544303797468356,0.8654205607476634,106,419,86,1
mobilenetv2,MobileNetV2,0.03,0.3709150326797386,0.2151639344262295,0.9813084112149533,0.24158415841584158,0.35294117647058826,0.8654205607476634,105,383,122,2
mobilenetv2,MobileNetV2,0.04,0.40032679738562094,0.2222222222222222,0.9719626168224299,0.27920792079207923,0.3617391304347826,0.8654205607476634,104,364,141,3
mobilenetv2,MobileNetV2,0.05,0.4395424836601307,0.2330316742081448,0.9626168224299065,0.3287128712871287,0.37522768670309653,0.8654205607476634,103,339,166,4
mobilenetv2,MobileNetV2,0.06,0.477124183006536,0.2458233890214797,0.9626168224299065,0.37425742574257426,0.3916349809885932,0.8654205607476634,103,316,189,4
mobilenetv2,MobileNetV2,0.07,0.5098039215686274,0.25692695214105793,0.9532710280373832,0.4158415841584158,0.40476190476190477,0.8654205607476634,102,295,210,5
mobilenetv2,MobileNetV2,0.08,0.5261437908496732,0.26356589147286824,0.9532710280373832,0.43564356435643564,0.41295546558704455,0.8654205607476634,102,285,220,5
mobilenetv2,MobileNetV2,0.09,0.5375816993464052,0.26595744680851063,0.9345794392523364,0.4534653465346535,0.4140786749482402,0.8654205607476634,100,276,229,7
mobilenetv2,MobileNetV2,0.1,0.565359477124183,0.27605633802816903,0.9158878504672897,0.4910891089108911,0.42424242424242425,0.8654205607476634,98,257,248,9
mobilenetv2,MobileNetV2,0.11,0.6078431372549019,0.2978723404255319,0.9158878504672897,0.5425742574257426,0.44954128440366975,0.8654205607476634,98,231,274,9
mobilenetv2,MobileNetV2,0.12,0.6372549019607843,0.31511254019292606,0.9158878504672897,0.5782178217821782,0.4688995215311005,0.8654205607476634,98,213,292,9
mobilenetv2,MobileNetV2,0.13,0.6519607843137255,0.3233333333333333,0.9065420560747663,0.598019801980198,0.47665847665847666,0.8654205607476634,97,203,302,10
mobilenetv2,MobileNetV2,0.14,0.6617647058823529,0.3275862068965517,0.8878504672897196,0.6138613861386139,0.47858942065491183,0.8654205607476634,95,195,310,12
mobilenetv2,MobileNetV2,0.15,0.6781045751633987,0.3381294964028777,0.8785046728971962,0.6356435643564357,0.4883116883116883,0.8654205607476634,94,184,321,13
mobilenetv2,MobileNetV2,0.16,0.6781045751633987,0.3357664233576642,0.8598130841121495,0.6396039603960396,0.48293963254593175,0.8654205607476634,92,182,323,15
mobilenetv2,MobileNetV2,0.17,0.6879084967320261,0.34328358208955223,0.8598130841121495,0.6514851485148515,0.49066666666666664,0.8654205607476634,92,176,329,15
mobilenetv2,MobileNetV2,0.18,0.7026143790849673,0.3552123552123552,0.8598130841121495,0.6693069306930693,0.5027322404371585,0.8654205607476634,92,167,338,15
mobilenetv2,MobileNetV2,0.19,0.7058823529411765,0.35797665369649806,0.8598130841121495,0.6732673267326733,0.5054945054945055,0.8654205607476634,92,165,340,15
mobilenetv2,MobileNetV2,0.2,0.7091503267973857,0.35968379446640314,0.8504672897196262,0.6792079207920793,0.5055555555555555,0.8654205607476634,91,162,343,16
mobilenetv2,MobileNetV2,0.21,0.7140522875816994,0.3629032258064516,0.8411214953271028,0.6871287128712872,0.5070422535211268,0.8654205607476634,90,158,347,17
mobilenetv2,MobileNetV2,0.22,0.7173202614379085,0.36475409836065575,0.8317757009345794,0.693069306930693,0.5071225071225072,0.8654205607476634,89,155,350,18
mobilenetv2,MobileNetV2,0.23,0.7238562091503268,0.37083333333333335,0.8317757009345794,0.700990099009901,0.5129682997118156,0.8654205607476634,89,151,354,18
mobilenetv2,MobileNetV2,0.24,0.7303921568627451,0.37606837606837606,0.822429906542056,0.7108910891089109,0.5161290322580645,0.8654205607476634,88,146,359,19
mobilenetv2,MobileNetV2,0.25,0.7369281045751634,0.3826086956521739,0.822429906542056,0.7188118811881188,0.5222551928783383,0.8654205607476634,88,142,363,19
mobilenetv2,MobileNetV2,0.26,0.7483660130718954,0.3936651583710407,0.8130841121495327,0.7346534653465346,0.5304878048780488,0.8654205607476634,87,134,371,20
mobilenetv2,MobileNetV2,0.27,0.75,0.3944954128440367,0.8037383177570093,0.7386138613861386,0.5292307692307693,0.8654205607476634,86,132,373,21
mobilenetv2,MobileNetV2,0.28,0.7598039215686274,0.4056603773584906,0.8037383177570093,0.7504950495049505,0.5391849529780565,0.8654205607476634,86,126,379,21
mobilenetv2,MobileNetV2,0.29,0.7663398692810458,0.41262135922330095,0.794392523364486,0.7603960396039604,0.5431309904153354,0.8654205607476634,85,121,384,22
mobilenetv2,MobileNetV2,0.3,0.7745098039215687,0.4228855721393035,0.794392523364486,0.7702970297029703,0.551948051948052,0.8654205607476634,85,116,389,22
mobilenetv2,MobileNetV2,0.31,0.7826797385620915,0.4329896907216495,0.7850467289719626,0.7821782178217822,0.5581395348837209,0.8654205607476634,84,110,395,23
mobilenetv2,MobileNetV2,0.32,0.7859477124183006,0.4375,0.7850467289719626,0.7861386138613862,0.5618729096989966,0.8654205607476634,84,108,397,23
mobilenetv2,MobileNetV2,0.33,0.795751633986928,0.45161290322580644,0.7850467289719626,0.7980198019801981,0.5733788395904437,0.8654205607476634,84,102,403,23
mobilenetv2,MobileNetV2,0.34,0.7990196078431373,0.45604395604395603,0.7757009345794392,0.803960396039604,0.5743944636678201,0.8654205607476634,83,99,406,24
mobilenetv2,MobileNetV2,0.35,0.8055555555555556,0.46629213483146065,0.7757009345794392,0.8118811881188119,0.5824561403508772,0.8654205607476634,83,95,410,24
mobilenetv2,MobileNetV2,0.36,0.8071895424836601,0.4685714285714286,0.7663551401869159,0.8158415841584158,0.5815602836879432,0.8654205607476634,82,93,412,25
mobilenetv2,MobileNetV2,0.37,0.803921568627451,0.4624277456647399,0.7476635514018691,0.8158415841584158,0.5714285714285714,0.8654205607476634,80,93,412,27
mobilenetv2,MobileNetV2,0.38,0.8137254901960784,0.47904191616766467,0.7476635514018691,0.8277227722772277,0.583941605839416,0.8654205607476634,80,87,418,27
mobilenetv2,MobileNetV2,0.39,0.8186274509803921,0.4876543209876543,0.7383177570093458,0.8356435643564356,0.587360594795539,0.8654205607476634,79,83,422,28
mobilenetv2,MobileNetV2,0.4,0.8202614379084967,0.4906832298136646,0.7383177570093458,0.8376237623762376,0.5895522388059702,0.8654205607476634,79,82,423,28
mobilenetv2,MobileNetV2,0.41,0.8218954248366013,0.49375,0.7383177570093458,0.8396039603960396,0.5917602996254682,0.8654205607476634,79,81,424,28
mobilenetv2,MobileNetV2,0.42,0.8218954248366013,0.4936708860759494,0.7289719626168224,0.8415841584158416,0.5886792452830188,0.8654205607476634,78,80,425,29
mobilenetv2,MobileNetV2,0.43,0.8251633986928104,0.5,0.7289719626168224,0.8455445544554455,0.5931558935361216,0.8654205607476634,78,78,427,29
mobilenetv2,MobileNetV2,0.44,0.8300653594771242,0.5098039215686274,0.7289719626168224,0.8514851485148515,0.6,0.8654205607476634,78,75,430,29
mobilenetv2,MobileNetV2,0.45,0.8284313725490197,0.5067567567567568,0.7009345794392523,0.8554455445544554,0.5882352941176471,0.8654205607476634,75,73,432,32
mobilenetv2,MobileNetV2,0.46,0.8300653594771242,0.5103448275862069,0.6915887850467289,0.8594059405940594,0.5873015873015873,0.8654205607476634,74,71,434,33
mobilenetv2,MobileNetV2,0.47,0.8300653594771242,0.5104895104895105,0.6822429906542056,0.8613861386138614,0.584,0.8654205607476634,73,70,435,34
mobilenetv2,MobileNetV2,0.48,0.8382352941176471,0.5289855072463768,0.6822429906542056,0.8712871287128713,0.5959183673469388,0.8654205607476634,73,65,440,34
mobilenetv2,MobileNetV2,0.49,0.8366013071895425,0.5263157894736842,0.6542056074766355,0.8752475247524752,0.5833333333333334,0.8654205607476634,70,63,442,37
mobilenetv2,MobileNetV2,0.5,0.8398692810457516,0.5343511450381679,0.6542056074766355,0.8792079207920792,0.5882352941176471,0.8654205607476634,70,61,444,37
mobilenetv2,MobileNetV2,0.51,0.8382352941176471,0.5307692307692308,0.6448598130841121,0.8792079207920792,0.5822784810126582,0.8654205607476634,69,61,444,38
mobilenetv2,MobileNetV2,0.52,0.8398692810457516,0.5348837209302325,0.6448598130841121,0.8811881188118812,0.5847457627118644,0.8654205607476634,69,60,445,38
mobilenetv2,MobileNetV2,0.53,0.8447712418300654,0.5476190476190477,0.6448598130841121,0.8871287128712871,0.592274678111588,0.8654205607476634,69,57,448,38
